work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Engineer,213580,USD,213580,US,100,US,M
2023,SE,FT,Data Engineer,163625,USD,163625,US,100,US,M
2023,EN,FT,Data Engineer,12000,USD,12000,VN,0,VN,L
2022,SE,FT,Machine Learning Software Engineer,375000,USD,375000,US,100,US,M
2023,SE,FT,Data Engineer,95000,EUR,101943,IE,100,IE,M
2023,MI,FT,Product Data Analyst,1350000,INR,16414,IN,100,IN,L
2023,SE,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
2023,EX,FT,Data Engineer,235000,USD,235000,US,0,US,M
2023,EX,FT,Data Engineer,210000,USD,210000,US,0,US,M
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Science Manager,231250,USD,231250,US,100,US,M
2023,SE,FT,Data Science Manager,138750,USD,138750,US,100,US,M
2023,SE,FT,Machine Learning Engineer,284310,USD,284310,US,0,US,M
2023,SE,FT,Machine Learning Engineer,153090,USD,153090,US,0,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M
2023,MI,FT,Data Analyst,125000,USD,125000,US,0,US,M
2023,MI,FT,Data Analyst,105000,USD,105000,US,0,US,M
2023,MI,FT,Data Analyst,90000,GBP,109371,GB,0,GB,M
2023,MI,FT,Data Analyst,70000,GBP,85066,GB,0,GB,M
2023,EN,FT,Data Analyst,55000,USD,55000,US,0,US,M
2023,EN,FT,Data Analyst,48000,USD,48000,US,0,US,M
2023,EN,FT,Data Analyst,100000,USD,100000,US,50,US,M
2023,SE,FT,Data Science Lead,225900,USD,225900,US,0,US,M
2023,SE,FT,Data Science Lead,156400,USD,156400,US,0,US,M
2023,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2023,SE,FT,Data Engineer,162500,USD,162500,US,100,US,M
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M
2023,SE,FT,Data Analyst,385000,USD,385000,US,0,US,M
2023,SE,FT,Data Analyst,60000,USD,60000,US,0,US,M
2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M
2023,MI,FT,Data Analyst,95000,USD,95000,US,100,US,M
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2023,SE,FT,Data Scientist,135000,USD,135000,US,100,US,M
2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
2023,SE,FT,Data Analyst,93919,USD,93919,US,100,US,M
